canonical_name_ja,canonical_name_en,aliases,origin_type,category,main_services,japan_website,recruit_url,employee_band,source_urls,confidence,notes
アリックスパートナーズ,,アリックスパートナーズ,日企,综合,,,,unknown,https://consulfree.com/blog/consultingfirm/|https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html,medium,seed抽出（要官网核验）
船井総合研究所,,船井総合研究所,日企,其他,,,,unknown,https://consulfree.com/blog/consultingfirm/|https://freeconsul.co.jp/cs/consultingfirm/|https://www.onecareer.jp/companies/business_categories/1?page=1,medium,seed抽出（要官网核验）
PwCコンサルティング合同会社 ストラテジーコンサルティング(Strategy&),,PwCコンサルティング合同会社 ストラテジーコンサルティング（Strategy&）,外资,综合,,,,unknown,https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html|https://www.movin.co.jp/gyoukai/firmlist/strategy.html,medium,seed抽出（要官网核验）
アクシスコンサルティング,,アクシスコンサルティング,日企,综合,,,,unknown,https://freeconsul.co.jp/cs/consultingfirm/|https://www.onecareer.jp/companies/business_categories/1?page=9,medium,seed抽出（要官网核验）
タナベコンサルティンググループ,,タナベコンサルティンググループ,日企,综合,,,,unknown,https://consulfree.com/blog/consultingfirm/|https://www.onecareer.jp/companies/business_categories/1?page=10,medium,seed抽出（要官网核验）
デロイト トーマツ コンサルティング,,デロイト トーマツ コンサルティング合同会社,日企,综合,,,,unknown,https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html|https://www.movin.co.jp/gyoukai/firmlist/strategy.html,medium,seed抽出（要官网核验）
パーソルワークスイッチコンサルティング,,パーソルワークスイッチコンサルティング,日企,综合,,,,unknown,https://consulfree.com/blog/consultingfirm/|https://www.onecareer.jp/companies/business_categories/1?page=6,medium,seed抽出（要官网核验）
リブ・コンサルティング,,リブ・コンサルティング,日企,综合,,,,unknown,https://consulfree.com/blog/consultingfirm/|https://www.onecareer.jp/companies/business_categories/1?page=1,medium,seed抽出（要官网核验）
博報堂コンサルティング,,博報堂コンサルティング,日企,综合,,,,unknown,https://consulfree.com/blog/consultingfirm/|https://www.onecareer.jp/companies/business_categories/1?page=3,medium,seed抽出（要官网核验）
日立コンサルティング,,日立コンサルティング,日企,IT咨询,,,,unknown,https://consulfree.com/blog/consultingfirm/|https://www.onecareer.jp/companies/business_categories/1?page=1,medium,seed抽出（要官网核验）
株式会社KPMG FAS,,株式会社KPMG FAS,外资,FA,,,,unknown,https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html,medium,seed抽出（要官网核验）
