id,name,canonical_name_en,website,recruit_url,openwork_url,origin_type,category,aliases,notes
96,FPTコンサルティングジャパン,,,,,日企,综合,FPTコンサルティングジャパン,seed抽出（要官网核验）
48,KPMG FAS,KPMG FAS,M&A、バリュエーション、事業再生、フォレンジック,https://kpmg.com/jp/ja/home/about/kpmg-fas.html,,外资,FA,KPMG FAS Co.|株式会社KPMG FAS,high
69,PwCコンサルティング合同会社 ストラテジーコンサルティング(Strategy&),,,,,外资,综合,PwCコンサルティング合同会社 ストラテジーコンサルティング（Strategy&）,seed抽出（要官网核验）
67,アリックスパートナーズ,,,,https://www.openwork.jp/company.php?m_id=a0C1000000qqPvc,日企,综合,アリックスパートナーズ,seed抽出（要官网核验）
71,タナベコンサルティンググループ,,,,https://www.openwork.jp/company.php?m_id=a0C2x00000Xt5R5,日企,综合,タナベコンサルティンググループ,seed抽出（要官网核验）
72,デロイト トーマツ コンサルティング,,,,https://www.openwork.jp/company.php?m_id=a0910000000G8f2,日企,综合,デロイト トーマツ コンサルティング合同会社,seed抽出（要官网核验）
73,パーソルワークスイッチコンサルティング,,,,https://www.openwork.jp/company.php?m_id=a0C2x00000YCnNF,日企,综合,パーソルワークスイッチコンサルティング,seed抽出（要官网核验）
38,フューチャーアーキテクト,Future Architect,IT&戦略コンサルティング、システム設計・実装,https://www.future.co.jp/architect/,,日企,综合,Future|Future Architect,high
75,博報堂コンサルティング,,,,https://www.openwork.jp/company.php?m_id=a0C1000000e6zMt,日企,综合,博報堂コンサルティング,seed抽出（要官网核验）
78,株式会社エヌ・ティ・ティ・データ経営研究所,,,,https://www.openwork.jp/company.php?m_id=a0910000000G8db,日企,其他,株式会社エヌ・ティ・ティ・データ経営研究所,seed抽出（要官网核验）
79,株式会社三菱総合研究所,,,,https://www.openwork.jp/company.php?m_id=a0910000000G2RT,日企,其他,株式会社三菱総合研究所,seed抽出（要官网核验）
80,株式会社日本総合研究所,,,,https://www.openwork.jp/company.php?m_id=a0910000000G21f,日企,其他,株式会社日本総合研究所,seed抽出（要官网核验）
81,株式会社日立コンサルティング,,,,https://www.openwork.jp/company.php?m_id=a0910000000GV9o,日企,IT咨询,株式会社日立コンサルティング,seed抽出（要官网核验）
82,株式会社野村総合研究所,,,,,日企,其他,株式会社野村総合研究所,seed抽出（要官网核验）
21,経営共創基盤,Industrial Growth Platform,経営改革、事業再生、M&A、DX,https://www.igpi.co.jp/en/,https://www.openwork.jp/company.php?m_id=a0910000000GAI2,日企,综合,Inc.,high
83,野村総合研究所(NRI),,,,,日企,其他,野村総合研究所（NRI）,seed抽出（要官网核验）
84,電通コンサルティング,,,,,日企,综合,電通コンサルティング,seed抽出（要官网核验）
