canonical_name_ja,canonical_name_en,aliases,origin_type,category,main_services,japan_website,recruit_url,employee_band,openwork_score,openwork_url,source_urls,confidence,notes
???? ???????? ????,,,外资,战略,,https://www.bcg.com/ja-jp,,500-1999,4.1,,,,Classic case interviews.
AGSコンサルティング,AGS Consulting,AGS,日企,综合,会計・税務、IPO、M&A、事業承継,https://www.agsc.co.jp/,https://www.agsc.co.jp/recruit/,500-1999,,,"日企,FA,high",high,
Accenture Japan,,,外资,综合,,https://www.accenture.com/jp-ja,,2000+,3.9,,,,Large implementation projects.
Bain & Company Tokyo,,,外资,综合,,https://www.bain.com/,,100-499,4.2,,,,PE-heavy cases.
Boston Consulting Group,Boston Consulting Group,BCG|BCG Japan,日企,综合,企業戦略、変革、デジタル、オペレーション,https://www.bcg.com/ja-jp/offices/tokyo/default,https://careers.bcg.com/global/en/locations,2000+,4.81,https://www.openwork.jp/company.php?m_id=a0910000000G8f7,"外资,战略,high",high,
Deloitte Tohmatsu,,,外资,综合,,https://www2.deloitte.com/jp/ja.html,,2000+,4.22,https://www.openwork.jp/company.php?m_id=a0910000000G8f2,,,Multiple legal entities.
Dirbato,Dirbato,ディルバート,日企,IT咨询,IT/DX戦略、現場実装、AI活用,https://dirbato.co.jp/,https://www.dirbato.co.jp/recruit/,500-1999,,,"日企,IT咨询,high",high,
EY Strategy and Consulting,,,外资,综合,,https://www.ey.com/ja_jp,,2000+,3.8,,,,Global projects.
EYストラテジー・アンド・コンサルティング,EY Strategy and Consulting,EYSC|EY Japan,外资,综合,戦略、業務改革、テクノロジー、トランザクション,https://www.ey.com/ja_jp/about-us/ey-strategy-and-consulting-co-ltd,https://www.ey.com/ja_jp/careers/students/programs-and-internships,2000+,,,"外资,综合,high",high,
FPTコンサルティングジャパン,,FPTコンサルティングジャパン,日企,综合,,,,unknown,,,"日企,综合,low",low,seed抽出（要官网核验）
FTIコンサルティング,FTI Consulting,FTI Consulting Japan,日企,综合,企業再生、フォレンジック、紛争、FA,https://www.fticonsulting.com/en/japan,https://www.fticonsulting.com/careers,2000+,,,"外资,FA,high",high,
G-FAS,G-FAS Corporation,GCA FAS,日企,FA,DD、バリュエーション、M&A FA、再生,https://gcafas.com/jp/,https://gcafas.com/jp/recruit/,100-499,,,"日企,FA,high",high,旧称GCA FAS
IBMコンサルティング,IBM Consulting,IBM Japan Consulting|IBM,外资,综合,戦略、ハイブリッドクラウド、AI、業務変革,https://www.ibm.com/jp-ja/consulting,https://www.ibm.com/jp-ja/employment/,2000+,,,"外资,综合,high",high,
INTLOOP,INTLOOP,イントループ,日企,IT咨询,戦略、業務改革、IT戦略、DX、PMO,https://www.intloop.com/,https://www.intloop.com/recruit/,500-1999,,,"日企,IT咨询,high",high,
KPMG Consulting,,,外资,综合,,https://kpmg.com/jp/ja/home.html,,2000+,3.6,,,,Governance and risk focus.
KPMG FAS,KPMG FAS,KPMG FAS Co.,外资,FA,FA,M&A、バリュエーション、事業再生、フォレンジック,https://kpmg.com/jp/ja/home/about/kpmg-fas.html,unknown,,,"Ltd.,外资,https://kpmg.com/jp/ja/home/about/kpmg-fas.html|https://www.movin.co.jp/gyoukai/firmlist/financial.html",https://kpmg.com/jp/ja/home/about/kpmg-fas.html|https://www.movin.co.jp/gyoukai/firmlist/financial.html,high
KPMGコンサルティング,KPMG Consulting,KPMG Japan Consulting|KPMGコンサルティング株式会社,外资,综合,戦略、オペレーション、リスク、テクノロジー,https://kpmg.com/jp/ja/home/about/kpmg-consulting.html,https://kpmg.com/jp/ja/home/careers/new-graduates/kc.html,2000+,,,"外资,综合,high",high,
Kearney,Kearney,A.T. Kearney|AT Kearney|A.T. Kearney Japan,外资,战略,戦略、調達、オペレーション、変革,https://www.kearney.com/office/tokyo,https://www.kearney.com/careers,500-1999,4.56,https://www.openwork.jp/company.php?m_id=a0910000000GWYS,"外资,战略,high",high,旧称A.T. Kearney
Kroll,Kroll,Kroll Japan,外资,FA,バリュエーション、リスク、リストラ、企業調査,https://www.kroll.com/ja-jp,https://www.kroll.com/en/careers,2000+,,,"外资,FA,high",high,
L.E.K.コンサルティング,L.E.K. Consulting,LEK|L.E.K. Japan,外资,战略,成長戦略、事業ポートフォリオ、商業DD,https://www.lek.com/ja/global-offices/tokyo,https://www.lek.com/ja/join-lek,100-499,4.0,https://www.openwork.jp/company.php?m_id=a0C1000000sgO1r,"外资,战略,high",high,
NTTデータ経営研究所,NTT DATA Institute of Management Consulting,NDMI,日企,其他,戦略とIT、公共・社会課題、先端テーマ,https://www.nttdata-strategy.com/,https://www.nttdata-strategy.com/recruit/,500-1999,,,"日企,IT咨询,high",high,
OAGコンサルティング,OAG Consulting,OAGコンサルティンググループ,日企,综合,財務・税務、事業承継、M&A、経営支援,https://www.oag-c.com/,https://www.oag-group.co.jp/recruit/,500-1999,,,"日企,FA,high",high,
PwC Japan Group,,,外资,综合,,https://www.pwc.com/jp/ja.html,,2000+,3.8,,,,Strong in digital and risk.
PwCアドバイザリー,PwC Advisory,PwCアドバイザリー合同会社,外资,FA,ディールアドバイザリー、M&A、事業再生,https://www.pwc.com/jp/ja/about-us/member/advisory.html,https://www.pwc.com/jp/ja/careers/experienced/our-business/advisory.html,500-1999,,,"外资,FA,high",high,
PwCコンサルティング,PwC Consulting,PwC Japan|Strategy&|PwCコンサルティング合同会社,外资,综合,戦略、業務改革、テクノロジー、ディール支援,https://www.pwc.com/jp/ja/about-us/member/consulting.html,https://www.pwc.com/jp/ja/careers/new-graduate/pwc-consulting.html,2000+,,https://www.openwork.jp/company.php?m_id=a0C30000003Llud,"外资,综合,high",high,Strategy&をaliasesに統合
PwCコンサルティング合同会社 ストラテジーコンサルティング(Strategy&),,PwCコンサルティング合同会社 ストラテジーコンサルティング（Strategy&）,外资,综合,,,,unknown,,,"外资,综合,medium",medium,seed抽出（要官网核验）
Ridgelinez,Ridgelinez,リッジラインズ,日企,综合,DXコンサルティング、戦略・デザイン・テクノロジー,https://www.ridgelinez.com/,https://www.ridgelinez.com/recruit/,100-499,,,"日企,IT咨询,high",high,
ULシステムズ,UL Systems,ULS|ウルシステムズ,日企,综合,IT戦略、システム刷新、アジャイル、アーキテクチャ,https://www.ulsystems.co.jp/,https://www.ulsystems.co.jp/recruit/,500-1999,,,"日企,IT咨询,medium",medium,
WTW,WTW,Willis Towers Watson|WTW Japan,外资,人力组织,人材、報酬、福利厚生、リスク・資産,https://www.wtwco.com/ja-jp,https://careers.wtwco.com/,500-1999,,,"外资,人力组织,high",high,
YCP,YCP,YCP Solidiance|YCP Holdings,日企,综合,アジア戦略、PMO、M&A、デジタル,https://ycp.com/ja,https://ycp.com/ja/careers,500-1999,3.98,https://www.openwork.jp/company.php?m_id=a0C1000000tB4ks,"日企,战略,high",high,グループ表記で集約
みずほリサーチ&テクノロジーズ,Mizuho Research & Technologies,MHRT|みずほRT,日企,IT咨询,経営・社会政策・DX支援コンサルティング,https://www.mizuho-rt.co.jp/index.html,https://www.mizuho-rt.co.jp/recruit/,2000+,,,"日企,IT咨询,high",high,シンクタンク系/IT寄り
アクシスコンサルティング,,アクシスコンサルティング,日企,综合,,,,unknown,4.43,https://www.openwork.jp/company.php?m_id=a0C30000003CJ1M,"日企,综合,medium",medium,seed抽出（要官网核验）
アクセンチュア,Accenture,Accenture Japan,日企,综合,戦略、業務、テクノロジー、アウトソーシング含む変革支援,https://www.accenture.com/jp-ja,https://www.accenture.com/jp-ja/careers,2000+,,,"外资,综合,high",high,純粋なBPO主体ではないため採用
アバナード,Avanade,Avanade Japan,日企,综合,Microsoft基盤のクラウド・デジタル変革,https://www.avanade.com/ja-jp,https://www.avanade.com/ja-jp/careers,2000+,,,"外资,IT咨询,medium",medium,
アビームコンサルティング,ABeam Consulting,ABeam,日企,综合,戦略、会計、SCM、IT、グローバル展開支援,https://www.abeam.com/jp/ja/,https://www.abeam.com/jp/ja/careers/,2000+,,,"日企,综合,high",high,
アリックスパートナーズ,,アリックスパートナーズ,日企,综合,,,,unknown,3.54,https://www.openwork.jp/company.php?m_id=a0C1000000qqPvc,"日企,综合,medium",medium,seed抽出（要官网核验）
アーサー・ディ・リトル,Arthur D. Little,ADL|Arthur D Little Japan,日企,战略,戦略、イノベーション、技術・事業開発,https://www.adlittle.com/jp-ja,https://www.adlittle.com/en/careers,500-1999,3.91,https://www.openwork.jp/company.php?m_id=a0C1000000qdNnn,"外资,战略,high",high,
オリバー・ワイマン,Oliver Wyman,Oliver Wyman Japan,日企,战略,戦略、リスク、金融、組織変革,https://www.oliverwyman.com/our-expertise/locations/asia-pacific/japan.html,https://www.oliverwyman.com/careers.html,2000+,3.88,https://www.openwork.jp/company.php?m_id=a0C1000000tBe1y,"外资,战略,high",high,
キャップジェミニ,Capgemini,Capgemini Japan,日企,综合,戦略、IT、エンジニアリング、実装,https://www.capgemini.com/jp-jp/,https://www.capgemini.com/jp-jp/careers/,2000+,,,"外资,综合,high",high,
グロービス,GLOBIS,GLOBIS Corporation,日企,综合,企業研修、組織開発、経営教育,https://globis.co.jp/,https://globis.co.jp/recruit/,500-1999,,,"日企,人力组织,medium",medium,教育色が強いため境界領域
コーポレイトディレクション,Corporate Directions,CDI|Corporate Directions,日企,综合,战略,経営戦略、新規事業、経営改革,https://www.cdi-japan.co.jp/english/,unknown,4.47,https://www.openwork.jp/company.php?m_id=a0910000000Ge8c,"Inc.,日企,https://www.cdi-japan.co.jp/english/|https://www.cdi-japan.co.jp/english/about_cdi/management_team",https://www.cdi-japan.co.jp/english/|https://www.cdi-japan.co.jp/english/about_cdi/management_team,high
コーン・フェリー,Korn Ferry,Korn Ferry Japan,日企,人力组织,組織設計、採用、報酬、リーダーシップ開発,https://www.kornferry.com/jp,https://www.kornferry.com/careers,100-499,,,"外资,人力组织,high",high,
サイモン・クチャー,Simon-Kucher,Simon-Kucher & Partners,日企,综合,価格戦略、収益成長、マーケティング・セールス,https://www.simon-kucher.com/en/country/japan,https://www.simon-kucher.com/ja/careers,500-1999,3.44,https://www.openwork.jp/company.php?m_id=a0910000002a5Pz,"外资,战略,high",high,商業戦略・価格特化
シグマクシス,SIGMAXYZ,SIGMAXYZ Inc.|シグマクシス・ホールディングス,日企,综合,トランスフォーメーション、デジタル、事業共創,https://www.sigmaxyz.com/sx/ja/index.html,https://www.sigmaxyz.com/ja/recruit/,500-1999,,,"日企,IT咨询,high",high,グループ表記ではなくコンサル会社名を採用
セルム,CELM,CELM Inc.,日企,综合,リーダー開発、組織開発、カルチャー変革,https://www.celm.co.jp/,https://www.celm.co.jp/recruit/,100-499,,,"日企,人力组织,high",high,
タナベコンサルティング,Tanabe Consulting,Tanabe Consulting Group|TCG,日企,综合,経営戦略、HR、人材開発、デジタル、M&A,https://www.tanabeconsulting.co.jp/,https://tanaberecruit.com/,500-1999,,,"日企,人力组织,high",high,HR特化ではないが人事組織を主要機能に含む
タナベコンサルティンググループ,,タナベコンサルティンググループ,日企,综合,,,,unknown,2.96,https://www.openwork.jp/company.php?m_id=a0C2x00000Xt5R5,"日企,综合,medium",medium,seed抽出（要官网核验）
デロイト トーマツ,Deloitte Tohmatsu,デロイト トーマツ コンサルティング|DTC|デロイト トーマツ ファイナンシャルアドバイザリー|DTFA,日企,综合,戦略、業務改革、テクノロジー、リスク、FA,https://www2.deloitte.com/jp/ja/pages/about-deloitte/articles/dtc/deloitte-tohmatsu-consulting.html,https://www2.deloitte.com/jp/ja/careers/dtc.html,2000+,4.22,https://www.openwork.jp/company.php?m_id=a0910000000G8f2,"外资,综合,high",high,Big4系をグループ集約
デロイト トーマツ コンサルティング,,デロイト トーマツ コンサルティング合同会社,日企,综合,,,,unknown,4.22,https://www.openwork.jp/company.php?m_id=a0910000000G8f2,"日企,综合,medium",medium,seed抽出（要官网核验）
ドリームインキュベータ,Dream Incubator,DI,日企,综合,戦略コンサル、新規事業、産業プロデュース,https://www.dreamincubator.co.jp/,https://www.dreamincubator.co.jp/recruit/,100-499,4.34,https://www.openwork.jp/company.php?m_id=a0910000000Fr0T,"日企,战略,medium",medium,
パーソルワークスイッチコンサルティング,,パーソルワークスイッチコンサルティング,日企,综合,,,,unknown,3.86,https://www.openwork.jp/company.php?m_id=a0C2x00000YCnNF,"日企,综合,medium",medium,seed抽出（要官网核验）
フォーティエンスコンサルティング,Fortience Consulting,QUNIE|QUNIE CORPORATION,日企,IT咨询,経営戦略・企業変革・ITコンサルティング,https://www.fortience.com/,https://www.fortience.com/recruit/,500-1999,,,"日企,IT咨询,high",high,2025-10-01にQUNIEから社名変更
フューチャーアーキテクト,Future Architect,Future|Future Architect,日企,综合,IT咨询,IT&戦略コンサルティング、システム設計・実装,https://www.future.co.jp/architect/,unknown,,,"Inc.,日企,https://www.future.co.jp/architect/|https://www.future.co.jp/en/architect/corporate_profile/our_vision/",https://www.future.co.jp/architect/|https://www.future.co.jp/en/architect/corporate_profile/our_vision/,high
フロンティア・マネジメント,Frontier Management,FMI,日企,综合,経営コンサル、M&Aアドバイザリー、再生,https://www.frontier-mgmt.com/,https://www.frontier-mgmt.com/recruit/,500-1999,,,"日企,FA,high",high,
フーリハン・ローキー,Houlihan Lokey,フーリハン・ローキー株式会社,日企,FA,M&A、再編、バリュエーション、FA,https://japan.hl.com/,https://japan.hl.com/careers,100-499,,,"外资,FA,high",high,
ベイカレント,Baycurrent,ベイカレント・コンサルティング,日企,综合,戦略、DX、業務改革、PMO,https://www.baycurrent.co.jp/,https://www.baycurrent.co.jp/recruit/,2000+,,,"日企,综合,high",high,
ベイン・アンド・カンパニー,Bain & Company,Bain|Bain Japan,日企,战略,成長戦略、PE支援、M&A、トランスフォーメーション,https://www.bain.com/ja/about/offices/tokyo/,https://www.bain.com/careers/work-with-us/,500-1999,4.71,https://www.openwork.jp/company.php?m_id=a0910000000GAHx,"外资,战略,high",high,
ベリングポイント,BearingPoint,BearingPoint Japan,日企,综合,経営・テクノロジー変革,https://www.bearingpoint.com/en/locations/bearingpoint-japan/,https://www.bearingpoint.com/en/careers/,2000+,,,"外资,综合,medium",medium,日本ではABeamとの連携が強い
マッキンゼー・アンド・カンパニー,McKinsey & Company,McKinsey Japan,日企,战略,全社戦略、成長戦略、組織変革、オペレーション,https://www.mckinsey.com/jp/our-people/tokyo-office,https://www.mckinsey.com/careers/search-jobs?office=Tokyo,2000+,4.69,https://www.openwork.jp/company.php?m_id=a0910000000GAHs,"外资,战略,high",high,日本拠点ベースで集約
マネジメントソリューションズ,Management Solutions,MSOL,日企,综合,PMO、EPMO、プロジェクト変革支援,https://www.msols.com/,https://recruit.msols.com/,500-1999,,,"日企,IT咨询,high",high,PMO特化のため境界領域
マーサー ジャパン,Mercer Japan,Mercer,日企,人力组织,人事戦略、報酬、福利厚生、投資・年金,https://www.mercer.com/ja-jp/,https://www.mercer.com/careers/,100-499,,,"外资,人力组织,high",high,
リクルートマネジメントソリューションズ,Recruit Management Solutions,RMS|リクルートMS,日企,人力组织,採用、人材開発、制度構築、組織開発,https://www.recruit-ms.co.jp/,https://www.recruit-ms.co.jp/recruit/,500-1999,,,"日企,人力组织,high",high,
リブ・コンサルティング,,リブ・コンサルティング,日企,综合,,,,unknown,3.98,https://www.openwork.jp/company.php?m_id=a0C1000000qdNoW,"日企,综合,medium",medium,seed抽出（要官网核验）
リンクアンドモチベーション,Link and Motivation,LMI,日企,人力组织,組織戦略、採用戦略、エンゲージメント変革,https://www.lmi.ne.jp/,https://www.lmi.ne.jp/recruit/,500-1999,,,"日企,人力组织,high",high,
ローランド・ベルガー,Roland Berger,Roland Berger Japan,日企,战略,戦略、再生、M&A、産業別アドバイザリー,https://www.rolandberger.com/ja/Offices/Tokyo.html,https://www.rolandberger.com/en/Join/,500-1999,4.1,https://www.openwork.jp/company.php?m_id=a0910000000GAPk,"外资,战略,high",high,
三菱UFJリサーチ&コンサルティング,Mitsubishi UFJ Research and Consulting,MURC,日企,其他,政策研究、経営コンサル、DX、人材・地域支援,https://www.murc.jp/,https://www.murc.jp/recruit/,500-1999,,,"日企,综合,high",high,
