canonical_candidate,source_count,raw_match_count,matched_raw_examples,source_urls
???? ????,3,3,Mercer|https://www.mercer.com/ja-jp|mercer.co.jp,https://consulfree.com/blog/consultingfirm/|https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html
???? ???? ???????????????,1,2,Deloitte Tohmatsu Financial Advisory LLC（DTFA）|FAS （DTFA・KPMG FAS・EYなど）,https://consulfree.com/blog/consultingfirm/
???? ???????? ????,7,20,2.ボストン・コンサルティング・グループ合同会社（BCG）|BCG 中途採用情報|BCG 転職|Boston Consulting Group（BCG）|bcg.com/ja-jp|https://www.bcg.com/ja-jp,https://consulfree.com/blog/consultingfirm/|https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html|https://www.movin.co.jp/gyoukai/firmlist/business_it.html|https://www.movin.co.jp/gyoukai/firmlist/financial.html|https://www.movin.co.jp/gyoukai/firmlist/general.html|https://www.movin.co.jp/gyoukai/firmlist/strategy.html
??????? ???,1,1,Accenture Song,https://consulfree.com/blog/consultingfirm/
??????????,1,1,Houlihan Lokey Inc.,https://consulfree.com/blog/consultingfirm/
AlixPartners,3,3,"AlixPartners, LLP|alixpartners.com|https://www.alixpartners.com/jp",https://consulfree.com/blog/consultingfirm/|https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html
EY???????????????????,4,6,EYSC TC- Digital Platforms & Transformation キャリアセミナー|EYストラテジー・アンド・コンサルティング（EYSC）|EYストラテジー・アンド・コンサルティング（EYSC）:【公認会計士・USCPA限定】新規ポジションがオープン！有名コンサルティングファーム|EYストラテジー・アンド・コンサルティング（EYSC）：組織人事コンサルタントとして働きたい方必見！|【EYSC 注目求人】|【徹底解説】EYストラテジー・アンド・コンサルティング（EYSC）への転職方法は？,https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html|https://www.movin.co.jp/gyoukai/firmlist/business_it.html|https://www.movin.co.jp/gyoukai/firmlist/financial.html|https://www.movin.co.jp/gyoukai/firmlist/general.html
IBM????????,4,13,3.日本アイ・ビー・エム株式会社（IBM）|IBM|IBM「IBMおよび日本IBMについて」|ITコンサルティングファーム （アクセンチュア・アビーム・IBMなど）|IT系コンサルティングファーム（アクセンチュア、アビームコンサルティング、日立コンサルティング、IBMコンサル部門など）|https://www.ibm.com/jp-ja,https://consulfree.com/blog/consultingfirm/|https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html|https://www.movin.co.jp/gyoukai/firmlist/general.html
KPMG FAS,7,15,3.株式会社KPMG FAS|FAS （DTFA・KPMG FAS・EYなど）|KPMG FAS|KPMG FAS 【未経験OK】KPMG FASの戦略部門でマーケ・プライシングに特化したチームが新設！|KPMG FAS バリューアップ・IT・M＆A戦略部門 1day選考会|KPMG FAS 大阪・名古屋ポジション 1Day選考会,https://consulfree.com/blog/consultingfirm/|https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html|https://www.movin.co.jp/gyoukai/firmlist/business_it.html|https://www.movin.co.jp/gyoukai/firmlist/financial.html|https://www.movin.co.jp/gyoukai/firmlist/general.html|https://www.movin.co.jp/gyoukai/firmlist/strategy.html
Kearney,4,6,2020年1月よりグローバル・ブランド名をKEARNEYへと刷新|A.T. カーニー A.T. Kearney|A.T.Keaney（KEARNEY）|Kearney「Kearneyについて」|https://www.jp.kearney.com|jp.kearney.com,https://consulfree.com/blog/consultingfirm/|https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html|https://www.movin.co.jp/gyoukai/firmlist/strategy.html
WTW,3,3,Willis Towers Watson Public Limited Company（WTW）|https://www.wtwco.com/ja-jp|wtwco.com/ja-jp,https://consulfree.com/blog/consultingfirm/|https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html
