canonical_name_ja,canonical_name_en,aliases,origin_type,category,main_services,japan_website,recruit_url,employee_band,source_urls,confidence,notes
マッキンゼー・アンド・カンパニー,McKinsey & Company,McKinsey Japan,外资,战略,全社戦略、成長戦略、組織変革、オペレーション,https://www.mckinsey.com/jp/our-people/tokyo-office,https://www.mckinsey.com/careers/search-jobs?office=Tokyo,2000+,https://www.mckinsey.com/jp/our-people/tokyo-office|https://www.movin.co.jp/gyoukai/firmlist/strategy.html,high,日本拠点ベースで集約
ボストン コンサルティング グループ,Boston Consulting Group,BCG|BCG Japan,外资,战略,企業戦略、変革、デジタル、オペレーション,https://www.bcg.com/ja-jp/offices/tokyo/default,https://careers.bcg.com/global/en/locations,2000+,https://www.bcg.com/ja-jp/offices/tokyo/default|https://www.movin.co.jp/gyoukai/firmlist/strategy.html,high,
ベイン・アンド・カンパニー,Bain & Company,Bain|Bain Japan,外资,战略,成長戦略、PE支援、M&A、トランスフォーメーション,https://www.bain.com/ja/about/offices/tokyo/,https://www.bain.com/careers/work-with-us/,500-1999,https://www.bain.com/ja/about/offices/tokyo/|https://www.movin.co.jp/gyoukai/firmlist/strategy.html,high,
Kearney,Kearney,A.T. カーニー|ATカーニー,外资,战略,戦略、調達、オペレーション、変革,https://www.kearney.com/office/tokyo,https://www.kearney.com/careers,500-1999,https://www.kearney.com/office/tokyo|https://www.movin.co.jp/gyoukai/firmlist/strategy.html,high,旧称A.T. Kearney
ローランド・ベルガー,Roland Berger,Roland Berger Japan,外资,战略,戦略、再生、M&A、産業別アドバイザリー,https://www.rolandberger.com/ja/Offices/Tokyo.html,https://www.rolandberger.com/en/Join/,500-1999,https://www.rolandberger.com/ja/Offices/Tokyo.html|https://www.movin.co.jp/gyoukai/firmlist/strategy.html,high,
アーサー・ディ・リトル,Arthur D. Little,ADL|Arthur D Little Japan,外资,战略,戦略、イノベーション、技術・事業開発,https://www.adlittle.com/jp-ja,https://www.adlittle.com/en/careers,500-1999,https://www.adlittle.com/jp-ja|https://www.movin.co.jp/gyoukai/firmlist/strategy.html,high,
オリバー・ワイマン,Oliver Wyman,Oliver Wyman Japan,外资,战略,戦略、リスク、金融、組織変革,https://www.oliverwyman.com/our-expertise/locations/asia-pacific/japan.html,https://www.oliverwyman.com/careers.html,2000+,https://www.oliverwyman.com/our-expertise/locations/asia-pacific/japan.html|https://www.movin.co.jp/gyoukai/firmlist/strategy.html,high,
L.E.K.コンサルティング,L.E.K. Consulting,LEK|L.E.K. Japan,外资,战略,成長戦略、事業ポートフォリオ、商業DD,https://www.lek.com/ja/global-offices/tokyo,https://www.lek.com/ja/join-lek,100-499,https://www.lek.com/ja/global-offices/tokyo|https://www.lek.com/ja/join-lek,high,
サイモン・クチャー,Simon-Kucher,Simon-Kucher & Partners,外资,战略,価格戦略、収益成長、マーケティング・セールス,https://www.simon-kucher.com/en/country/japan,https://www.simon-kucher.com/ja/careers,500-1999,https://www.simon-kucher.com/en/country/japan|https://www.simon-kucher.com/en,high,商業戦略・価格特化
コーポレイトディレクション,Corporate Directions,CDI|Corporate Directions, Inc.,日企,战略,経営戦略、新規事業、経営改革,https://www.cdi-japan.co.jp/english/,https://www.cdi-japan.co.jp/recruit/,100-499,https://www.cdi-japan.co.jp/english/|https://www.cdi-japan.co.jp/english/about_cdi/management_team,high,
ドリームインキュベータ,Dream Incubator,DI,日企,战略,戦略コンサル、新規事業、産業プロデュース,https://www.dreamincubator.co.jp/,https://www.dreamincubator.co.jp/recruit/,100-499,https://www.dreamincubator.co.jp/|https://www.movin.co.jp/column/column179.html,medium,
経営共創基盤,Industrial Growth Platform, Inc.,IGPI|Industrial Growth Platform,日企,战略,経営改革、事業再生、M&A、DX,https://www.igpi.co.jp/en/,https://www.igpi.co.jp/recruit/,100-499,https://www.igpi.co.jp/en/company/|https://www.movin.co.jp/column/column179.html,high,
YCP,YCP,YCP Solidiance|YCP Holdings,日企,战略,アジア戦略、PMO、M&A、デジタル,https://ycp.com/ja,https://ycp.com/ja/careers,500-1999,https://ycp.com/ja|https://ycpsolidiance.com/ja/about/company,high,グループ表記で集約
デロイト トーマツ,Deloitte Tohmatsu,デロイト トーマツ コンサルティング|DTC|デロイト トーマツ ファイナンシャルアドバイザリー|DTFA,外资,综合,戦略、業務改革、テクノロジー、リスク、FA,https://www2.deloitte.com/jp/ja/pages/about-deloitte/articles/dtc/deloitte-tohmatsu-consulting.html,https://www2.deloitte.com/jp/ja/careers/dtc.html,2000+,https://www2.deloitte.com/jp/ja/pages/about-deloitte/articles/dtc/deloitte-tohmatsu-consulting.html|https://www.movin.co.jp/gyoukai/firmlist/general.html,high,Big4系をグループ集約
PwCコンサルティング,PwC Consulting,PwC Japan|Strategy&|PwCコンサルティング合同会社,外资,综合,戦略、業務改革、テクノロジー、ディール支援,https://www.pwc.com/jp/ja/about-us/member/consulting.html,https://www.pwc.com/jp/ja/careers/new-graduate/pwc-consulting.html,2000+,https://www.pwc.com/jp/ja/about-us/member/consulting.html|https://www.strategyand.pwc.com/jp/ja/about.html,high,Strategy&をaliasesに統合
KPMGコンサルティング,KPMG Consulting,KPMG Japan Consulting|KPMGコンサルティング株式会社,外资,综合,戦略、オペレーション、リスク、テクノロジー,https://kpmg.com/jp/ja/home/about/kpmg-consulting.html,https://kpmg.com/jp/ja/home/careers/new-graduates/kc.html,2000+,https://kpmg.com/jp/ja/home/about/kpmg-consulting.html|https://www.movin.co.jp/gyoukai/firmlist/general.html,high,
EYストラテジー・アンド・コンサルティング,EY Strategy and Consulting,EYSC|EY Japan,外资,综合,戦略、業務改革、テクノロジー、トランザクション,https://www.ey.com/ja_jp/about-us/ey-strategy-and-consulting-co-ltd,https://www.ey.com/ja_jp/careers/students/programs-and-internships,2000+,https://www.ey.com/ja_jp/about-us/ey-strategy-and-consulting-co-ltd|https://www.movin.co.jp/gyoukai/firmlist/general.html,high,
アクセンチュア,Accenture,Accenture Japan,外资,综合,戦略、業務、テクノロジー、アウトソーシング含む変革支援,https://www.accenture.com/jp-ja,https://www.accenture.com/jp-ja/careers,2000+,https://www.accenture.com/jp-ja|https://www.movin.co.jp/gyoukai/firmlist/general.html,high,純粋なBPO主体ではないため採用
アビームコンサルティング,ABeam Consulting,ABeam,日企,综合,戦略、会計、SCM、IT、グローバル展開支援,https://www.abeam.com/jp/ja/,https://www.abeam.com/jp/ja/careers/,2000+,https://www.abeam.com/jp/ja/|https://www.movin.co.jp/gyoukai/firmlist/general.html,high,
ベイカレント,Baycurrent,ベイカレント・コンサルティング,日企,综合,戦略、DX、業務改革、PMO,https://www.baycurrent.co.jp/,https://www.baycurrent.co.jp/recruit/,2000+,https://www.baycurrent.co.jp/|https://www.movin.co.jp/gyoukai/firmlist/general.html,high,
ベリングポイント,BearingPoint,BearingPoint Japan,外资,综合,経営・テクノロジー変革,https://www.bearingpoint.com/en/locations/bearingpoint-japan/,https://www.bearingpoint.com/en/careers/,2000+,https://www.bearingpoint.com/en/locations/bearingpoint-japan/|https://www.abeam.com/jp/en/news/2025/0902/,medium,日本ではABeamとの連携が強い
キャップジェミニ,Capgemini,Capgemini Japan,外资,综合,戦略、IT、エンジニアリング、実装,https://www.capgemini.com/jp-jp/,https://www.capgemini.com/jp-jp/careers/,2000+,https://www.capgemini.com/jp-jp/about-us/|https://www.capgemini.com/jp-jp/about-us/practice/,high,
