id,name,current_band,suggested_band,suggested_count,confidence,needs_update,evidence_url,evidence_context
8,???? ???????? ????,500-1999,500-1999,,low,0,,
52,AGSコンサルティング,500-1999,500-1999,,low,0,,
2,Accenture Japan,2000+,2000+,,low,0,,
7,Bain & Company Tokyo,100-499,100-499,,low,0,,
11,Boston Consulting Group,2000+,2000+,,low,0,,
3,Deloitte Tohmatsu,2000+,2000+,,low,0,,
40,Dirbato,500-1999,500-1999,,low,0,,
5,EY Strategy and Consulting,2000+,2000+,,low,0,,
26,EYストラテジー・アンド・コンサルティング,2000+,2000+,,low,0,,
96,FPTコンサルティングジャパン,unknown,unknown,,low,0,,
56,FTIコンサルティング,2000+,2000+,,low,0,,
54,G-FAS,100-499,100-499,,low,0,,
32,IBMコンサルティング,2000+,2000+,,low,0,,
41,INTLOOP,500-1999,500-1999,,low,0,,
4,KPMG Consulting,2000+,2000+,,low,0,,
48,KPMG FAS,unknown,unknown,,low,0,,
25,KPMGコンサルティング,2000+,2000+,,low,0,,
13,Kearney,500-1999,500-1999,,low,0,,
57,Kroll,2000+,2000+,,low,0,,
17,L.E.K.コンサルティング,100-499,100-499,,low,0,,
46,NTTデータ経営研究所,500-1999,500-1999,,low,0,,
53,OAGコンサルティング,500-1999,500-1999,,low,0,,
1,PwC Japan Group,2000+,2000+,,low,0,,
49,PwCアドバイザリー,500-1999,500-1999,,low,0,,
24,PwCコンサルティング,2000+,2000+,,low,0,,
69,PwCコンサルティング合同会社 ストラテジーコンサルティング(Strategy&),unknown,unknown,,low,0,,
39,Ridgelinez,100-499,100-499,,low,0,,
44,ULシステムズ,500-1999,500-1999,,low,0,,
60,WTW,500-1999,500-1999,,low,0,,
22,YCP,500-1999,500-1999,,low,0,,
47,みずほリサーチ&テクノロジーズ,2000+,2000+,,low,0,,
70,アクシスコンサルティング,unknown,unknown,,low,0,,
27,アクセンチュア,2000+,2000+,,low,0,,
43,アバナード,2000+,2000+,,low,0,,
28,アビームコンサルティング,2000+,2000+,,low,0,,
67,アリックスパートナーズ,unknown,unknown,,low,0,,
15,アーサー・ディ・リトル,500-1999,500-1999,,low,0,,
16,オリバー・ワイマン,2000+,2000+,,low,0,,
31,キャップジェミニ,2000+,2000+,,low,0,,
65,グロービス,500-1999,500-1999,,low,0,,
19,コーポレイトディレクション,unknown,unknown,,low,0,,
59,コーン・フェリー,100-499,100-499,,low,0,,
18,サイモン・クチャー,500-1999,500-1999,,low,0,,
42,シグマクシス,500-1999,500-1999,,low,0,,
62,セルム,100-499,100-499,,low,0,,
64,タナベコンサルティング,500-1999,500-1999,,low,0,,
71,タナベコンサルティンググループ,unknown,unknown,,low,0,,
23,デロイト トーマツ,2000+,2000+,,low,0,,
72,デロイト トーマツ コンサルティング,unknown,unknown,,low,0,,
20,ドリームインキュベータ,100-499,100-499,,low,0,,
73,パーソルワークスイッチコンサルティング,unknown,unknown,,low,0,,
37,フォーティエンスコンサルティング,500-1999,500-1999,,low,0,,
38,フューチャーアーキテクト,unknown,unknown,,low,0,,
50,フロンティア・マネジメント,500-1999,500-1999,,low,0,,
55,フーリハン・ローキー,100-499,100-499,,low,0,,
29,ベイカレント,2000+,2000+,,low,0,,
12,ベイン・アンド・カンパニー,500-1999,500-1999,,low,0,,
30,ベリングポイント,2000+,2000+,,low,0,,
10,マッキンゼー・アンド・カンパニー,2000+,2000+,,low,0,,
45,マネジメントソリューションズ,500-1999,500-1999,,low,0,,
58,マーサー ジャパン,100-499,100-499,,low,0,,
61,リクルートマネジメントソリューションズ,500-1999,500-1999,,low,0,,
74,リブ・コンサルティング,unknown,unknown,,low,0,,
63,リンクアンドモチベーション,500-1999,500-1999,,low,0,,
14,ローランド・ベルガー,500-1999,500-1999,,low,0,,
36,三菱UFJリサーチ&コンサルティング,500-1999,500-1999,,low,0,,
35,三菱総合研究所,500-1999,500-1999,,low,0,,
75,博報堂コンサルティング,unknown,unknown,,low,0,,
51,山田コンサルティンググループ,500-1999,500-1999,,low,0,,
34,日本総合研究所,2000+,2000+,,low,0,,
66,日本能率協会コンサルティング,500-1999,500-1999,,low,0,,
76,日立コンサルティング,unknown,unknown,,low,0,,
77,株式会社KPMG FAS,unknown,unknown,,low,0,,
78,株式会社エヌ・ティ・ティ・データ経営研究所,unknown,unknown,,low,0,,
79,株式会社三菱総合研究所,unknown,unknown,,low,0,,
80,株式会社日本総合研究所,unknown,unknown,,low,0,,
81,株式会社日立コンサルティング,unknown,unknown,,low,0,,
82,株式会社野村総合研究所,unknown,unknown,,low,0,,
21,経営共創基盤,unknown,unknown,,low,0,,
68,船井総合研究所,unknown,unknown,,low,0,,
33,野村総合研究所,2000+,2000+,,low,0,,
83,野村総合研究所(NRI),unknown,unknown,,low,0,,
84,電通コンサルティング,unknown,unknown,,low,0,,
