id,name,suggested_employees,confidence,evidence_url,evidence_context,hit_count
21,経営共創基盤,,low,,,0
38,フューチャーアーキテクト,,low,,,0
48,KPMG FAS,,low,,,0
67,アリックスパートナーズ,,low,,,0
69,PwCコンサルティング合同会社 ストラテジーコンサルティング(Strategy&),,low,,,0
71,タナベコンサルティンググループ,,low,,,0
72,デロイト トーマツ コンサルティング,,low,,,0
73,パーソルワークスイッチコンサルティング,,low,,,0
75,博報堂コンサルティング,,low,,,0
78,株式会社エヌ・ティ・ティ・データ経営研究所,,low,,,0
79,株式会社三菱総合研究所,,low,,,0
80,株式会社日本総合研究所,,low,,,0
81,株式会社日立コンサルティング,,low,,,0
82,株式会社野村総合研究所,,low,,,0
83,野村総合研究所(NRI),,low,,,0
84,電通コンサルティング,,low,,,0
96,FPTコンサルティングジャパン,,low,,,0
