canonical_candidate,aliases,source_count,source_urls
PwCアドバイザリー,PwCアドバイザリー|PwCアドバイザリー合同会社,4,https://consulfree.com/blog/consultingfirm/|https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html|https://www.onecareer.jp/companies/business_categories/1?page=4
PwCコンサルティング,PwCコンサルティング|PwCコンサルティング合同会社,4,https://consulfree.com/blog/consultingfirm/|https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html|https://www.onecareer.jp/companies/business_categories/1?page=1
アビームコンサルティング,アビームコンサルティング|アビームコンサルティング株式会社,4,https://consulfree.com/blog/consultingfirm/|https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html|https://www.onecareer.jp/companies/business_categories/1?page=1
マッキンゼー・アンド・カンパニー,マッキンゼー・アンド・カンパニー,4,https://consulfree.com/blog/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html|https://www.movin.co.jp/gyoukai/firmlist/strategy.html|https://www.onecareer.jp/companies/business_categories/1?page=2
三菱UFJリサーチ&コンサルティング,三菱UFJリサーチ&コンサルティング|三菱UFJリサーチ&コンサルティング株式会社,4,https://consulfree.com/blog/consultingfirm/|https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html|https://www.onecareer.jp/companies/business_categories/1?page=1
A.T. カーニー,A.T. カーニー|A.T. カーニー株式会社,3,https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html|https://www.movin.co.jp/gyoukai/firmlist/strategy.html|https://www.onecareer.jp/companies/business_categories/1?page=1
EYストラテジー・アンド・コンサルティング,EYストラテジー・アンド・コンサルティング|EYストラテジー・アンド・コンサルティング株式会社,3,https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html|https://www.onecareer.jp/companies/business_categories/1?page=2
KPMGコンサルティング,KPMGコンサルティング|KPMGコンサルティング株式会社,3,https://consulfree.com/blog/consultingfirm/|https://freeconsul.co.jp/cs/consultingfirm/|https://www.onecareer.jp/companies/business_categories/1?page=1
アクセンチュア,アクセンチュア|アクセンチュア株式会社,3,https://consulfree.com/blog/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html|https://www.onecareer.jp/companies/business_categories/1?page=1
アリックスパートナーズ,アリックスパートナーズ,3,https://consulfree.com/blog/consultingfirm/|https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html
キャップジェミニ,キャップジェミニ|キャップジェミニ株式会社,3,https://consulfree.com/blog/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html|https://www.onecareer.jp/companies/business_categories/1?page=4
ベイン・アンド・カンパニー,ベイン・アンド・カンパニー,3,https://consulfree.com/blog/consultingfirm/|https://freeconsul.co.jp/cs/consultingfirm/|https://www.onecareer.jp/companies/business_categories/1?page=1
ボストン コンサルティング グループ,ボストン コンサルティング グループ|ボストン コンサルティング グループ合同会社,3,https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html|https://www.movin.co.jp/gyoukai/firmlist/strategy.html|https://www.onecareer.jp/companies/business_categories/1?page=1
船井総合研究所,船井総合研究所,3,https://consulfree.com/blog/consultingfirm/|https://freeconsul.co.jp/cs/consultingfirm/|https://www.onecareer.jp/companies/business_categories/1?page=1
INTLOOP,INTLOOP,2,https://consulfree.com/blog/consultingfirm/|https://www.onecareer.jp/companies/business_categories/1?page=2
KPMG FAS,KPMG FAS,2,https://consulfree.com/blog/consultingfirm/|https://www.onecareer.jp/companies/business_categories/1?page=5
PwCコンサルティング合同会社 ストラテジーコンサルティング(Strategy&),PwCコンサルティング合同会社 ストラテジーコンサルティング（Strategy&）,2,https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html|https://www.movin.co.jp/gyoukai/firmlist/strategy.html
Ridgelinez,Ridgelinez|Ridgelinez株式会社,2,https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html|https://www.onecareer.jp/companies/business_categories/1?page=5
みずほリサーチ&テクノロジーズ,みずほリサーチ&テクノロジーズ|みずほリサーチ&テクノロジーズ株式会社,2,https://consulfree.com/blog/consultingfirm/|https://freeconsul.co.jp/cs/consultingfirm/
アクシスコンサルティング,アクシスコンサルティング,2,https://freeconsul.co.jp/cs/consultingfirm/|https://www.onecareer.jp/companies/business_categories/1?page=9
